autonomousCommunityRank,competition,eligible,latentSkill,nationalRank,opposition,playerId,position,provinceCode,provinceRank,quality,ratingV2,risk,score,uniqueOpponents,validChallenges
132,224.52,true,55.58,5978,116.82,player-00035,MC,30,132,228.9,69.02,7.27,570.24,16,36
111,236.83,true,59.87,5051,117.92,player-00036,DEL,30,111,231.03,66.43,5.14,585.77,18,36
168,247.48,true,63.12,7237,115.82,player-00037,DEF,30,168,184.17,55.32,5.14,547.47,18,36
200,226.51,true,53.34,8269,119.9,player-00038,MC,30,200,173.77,48.75,5.26,520.18,20,41
183,201.15,true,64.82,7741,119.08,player-00039,DEL,30,183,215.23,60.69,5.14,535.46,19,38
162,232.47,true,59.21,7003,117.28,player-00040,DEF,30,162,202,55.23,6.97,551.75,18,38
565,256.81,true,47.25,8282,119.22,player-00041,POR,48,320,143.57,42.54,3.6,519.6,17,26
353,273.1,true,48.98,5525,117.94,player-00042,DEF,48,211,187.23,53.14,3.89,578.28,15,24
382,225.6,true,69.88,5882,121.08,player-00043,DEF,48,228,225.47,67.1,3.22,572.15,18,26
266,301.82,true,63.17,4378,121.09,player-00044,MC,48,165,173.44,51.02,3,596.35,20,28
528,268.07,true,47.81,7878,119.36,player-00045,MC,48,297,144.02,43.58,3.6,531.45,17,26
342,257.56,true,52.22,5425,120.41,player-00046,DEL,48,204,201.77,59.09,3.59,579.74,19,29
204,266.29,true,54.71,3545,120.19,player-00047,DEF,48,129,223.81,61.79,3.35,610.28,19,28
419,261.55,true,53.29,6364,115.67,player-00048,MC,48,246,185.98,53.1,3.99,563.21,16,26
588,243.86,true,57.97,8609,117.18,player-00049,DEL,48,337,143.94,42.73,3.99,504.99,16,26
322,270.97,true,60.05,5144,119.13,player-00050,DEF,48,196,194.15,56.73,3,584.25,20,28
607,206.67,true,67.95,6723,118.91,player-00051,POR,47,79,231.01,64.12,6.56,556.6,17,33
564,196.34,true,76.07,6246,117.99,player-00052,DEF,47,73,251.18,70.63,4.76,565.51,18,30
652,197.78,true,74.66,7170,118.57,player-00053,DEF,47,87,232.48,66.48,7.02,548.83,16,30
469,183.26,true,80.62,5294,118.49,player-00054,MC,47,61,279.85,79.8,6.7,581.61,19,34
405,181.86,true,79.1,4609,119.02,player-00055,MC,47,54,291.98,84.05,6.25,592.86,20,33
461,207.16,true,68.98,5228,119.81,player-00056,DEL,47,60,255.72,69.83,6.26,582.69,18,33
493,187.84,true,69.88,5583,120.27,player-00057,DEF,47,63,269.08,81.33,4.96,577.19,19,33
701,163.66,true,80.83,7709,117.02,player-00058,MC,47,93,255.47,75.92,4.95,536.15,18,31
613,208.17,true,65.93,6775,118.06,player-00059,DEL,47,80,229.58,62.51,5.45,555.81,17,32
713,194.38,true,66.19,7829,117.26,player-00060,DEF,47,96,221.42,64.73,5.14,533.07,15,30
1,278.34,true,90.89,29,112.41,player-00061,POR,42,1,338.31,97.28,7.34,729.06,14,35
318,262.59,true,71.27,3796,107.88,player-00062,DEF,42,38,235.77,72.48,8.19,606.25,12,36
170,258.22,true,81.99,2290,113.72,player-00063,DEF,42,22,260.61,75.68,7.45,632.55,14,36
39,266.38,true,84.15,604,107.69,player-00064,MC,42,4,301.23,85.39,7.91,675.29,13,37
266,281.99,true,73.24,3265,104.66,player-00065,MC,42,30,228.4,72.3,8.01,615.06,14,42
41,277.58,true,84.56,633,106.4,player-00066,DEL,42,5,290.05,84.36,8.09,674.04,13,39
60,246.13,true,87.19,926,107.71,player-00067,DEF,42,9,310.03,94.32,7.84,663.86,14,40
287,267.97,true,65.15,3451,113.62,player-00068,MC,42,34,230.4,65.35,7.85,611.99,11,29
197,262.96,true,77.27,2593,110.29,player-00069,DEL,42,24,253.77,75.53,8.58,627.02,11,36
115,282.72,true,66.45,1728,110.83,player-00070,DEF,42,16,250.26,75.16,6.47,643.81,11,30
238,207.96,true,79.48,2545,123.59,player-00071,POR,03,96,296.32,87.54,3.1,627.87,19,27
750,198.26,true,63.59,7421,123.81,player-00072,DEF,03,297,221.43,65.02,3,543.49,20,28
491,205.04,true,68.24,4909,124.25,player-00073,DEF,03,209,258.93,71.03,2.64,588.22,21,28
780,192.76,true,61.46,7662,122.36,player-00074,MC,03,311,222.46,61.83,2.64,537.58,21,28
241,232.53,true,83.31,2564,123.99,player-00075,MC,03,98,271.05,78.48,2.87,627.57,24,33
,217.14,false,62.55,,123.75,player-00076,DEL,03,,132.77,43.09,2.64,473.66,21,28
464,213.96,true,68.55,4642,125.23,player-00077,DEF,03,197,253.24,69.31,1.99,592.43,22,27
651,202.7,true,64.57,6525,124.24,player-00078,MC,03,261,233.29,65.22,1.68,560.23,22,26
596,232.23,true,61.23,5949,124.72,player-00079,DEL,03,241,213.84,68,2.06,570.79,21,26
755,208.31,true,51.57,7495,123.27,player-00080,DEF,03,299,210.37,59.92,3.35,541.95,19,28
529,223.45,true,64.83,4873,116.6,player-00081,POR,17,102,248.67,69.88,4.26,588.72,20,34
701,227.08,true,61.17,6421,112.32,player-00082,DEF,17,123,222.74,64.95,5.93,562.14,20,43
526,250.65,true,72.94,4867,115.27,player-00083,DEF,17,101,222.9,64.77,5.14,588.81,19,38
506,208.01,true,75.48,4723,117.97,player-00084,MC,17,94,265.02,76.09,4.73,591,20,37
792,221.2,true,69.13,7297,114.3,player-00085,MC,17,138,210.78,63.4,5.24,546.28,22,41
820,225.34,true,56.58,7577,114.01,player-00086,DEL,17,146,200.89,56.31,5.27,540.25,19,39
419,219.26,true,67.68,3942,115.31,player-00087,DEF,17,81,269.35,76.08,4.86,603.92,23,40
658,224.71,true,66.88,6008,112.59,player-00088,MC,17,119,232.49,64.61,5.65,569.79,18,36
886,201.63,true,67.45,8229,115.78,player-00089,DEL,17,170,203.71,62.54,5.4,521.12,18,38
956,204.18,true,54.57,9005,107.55,player-00090,DEF,17,188,165.51,51.24,6.27,477.24,17,39
53,253.74,true,71.3,2211,120.82,player-00091,POR,39,53,259.56,76.19,6,634.13,16,34
85,246.24,true,76.21,3517,120,player-00092,DEF,39,85,244.66,73.52,5.87,610.89,16,33
49,271.14,true,74.45,1906,120.64,player-00093,DEF,39,49,248.66,69.25,5.58,640.44,16,31
75,264.72,true,84.83,3074,119.38,player-00094,MC,39,75,233.97,70.28,5.45,618.07,16,30
18,265.9,true,75.54,852,119.89,player-00095,MC,39,18,280.58,85.35,4.62,666.38,16,29
16,268.62,true,81.92,801,119.93,player-00096,DEL,39,16,279.54,83.5,5.6,668.09,16,31
121,252.54,true,75.7,5043,120.35,player-00097,DEF,39,121,212.98,65.48,5.72,585.87,16,32
17,242.64,true,86.97,827,118.86,player-00098,MC,39,17,305.63,91.02,3.89,667.13,15,24
11,259.16,true,83.2,719,120.49,player-00099,DEL,39,11,291.38,82.85,5.48,671.03,14,26
51,243.89,true,82.56,2053,120.84,player-00100,DEF,39,51,272.79,78.95,4.21,637.52,16,27
317,229.52,true,84.25,3045,122.32,player-00101,POR,17,63,266.69,80.77,5.7,618.53,25,52
57,244.53,true,88.88,568,121.7,player-00102,DEF,17,13,310.42,86.06,4.56,676.65,24,43
233,229.49,true,83.44,2123,120.83,player-00103,DEF,17,43,285.78,84.11,6.98,636.1,27,53
264,237.18,true,78.19,2441,123.06,player-00104,MC,17,49,269.76,79.06,5.31,629.99,28,54
287,216.71,true,82.99,2723,123.4,player-00105,MC,17,55,284.05,80.86,6.61,624.16,24,47
347,216.24,true,70.49,3326,121.72,player-00106,DEL,17,68,276.01,74.44,6.42,613.97,27,51
58,250.64,true,80.5,569,122.4,player-00107,DEF,17,14,303.56,90.41,6.98,676.61,26,55
446,212.16,true,73.71,4190,121.67,player-00108,MC,17,86,265.66,78.92,4.27,599.48,27,46
652,194.4,true,73.22,5935,122.1,player-00109,DEL,17,118,254.58,69.08,6.29,571.09,28,48
861,199.43,true,70.93,8024,120.38,player-00110,DEF,17,158,207.09,62.06,4.94,526.9,26,50
303,290.91,true,76.86,1032,120.19,player-00111,POR,29,70,249.6,77.66,6.31,660.71,21,45
61,272.99,true,82.21,168,119.97,player-00112,DEF,29,18,309.22,92.26,6.28,702.19,22,47
891,245.05,true,68.74,3745,125.37,player-00113,DEF,29,199,236.64,68.4,5.63,607.05,24,49
1044,238.84,true,75.66,4599,124.61,player-00114,MC,29,231,229.56,68.35,5.94,593.01,24,48
632,276.75,true,72.41,2425,121.43,player-00115,MC,29,150,232.2,65.05,4.99,630.37,23,41
604,278.49,true,68.03,2317,123.13,player-00116,DEL,29,144,230.56,67.87,6.42,632.17,22,49
932,286.14,true,69.8,3994,123.33,player-00117,DEF,29,207,193.49,57.89,5.56,602.96,22,44
921,265.84,true,81.46,3923,119.46,player-00118,MC,29,206,218.91,65.72,5.7,604.21,22,41
764,250.69,true,69.45,3071,120.88,player-00119,DEL,29,174,246.53,66.49,5.97,618.1,19,41
579,256.19,true,73.21,2198,123.19,player-00120,DEF,29,138,255.01,69.03,5.74,634.39,23,48
80,215.4,true,91.33,1519,123.73,player-00121,POR,48,52,308.83,93.46,4.1,647.96,26,40
26,231.36,true,85.02,637,115.6,player-00122,DEF,48,17,326.95,93.37,3.17,673.9,23,33
61,213.97,true,94.08,1239,120.93,player-00123,DEF,48,42,319.91,90.29,4.25,654.81,26,41
188,223.6,true,73.08,3328,117.87,player-00124,MC,48,122,272.49,82.11,3.75,613.96,23,36
66,216.54,true,81.85,1298,120.4,player-00125,MC,48,44,316.47,98.02,4.04,653.4,25,41
33,222.89,true,91.6,792,120.91,player-00126,DEL,48,22,324.53,95.26,4.14,668.33,24,40
397,218.75,true,73.45,6111,118.3,player-00127,DEF,48,235,230.97,70.1,3.54,568.02,25,35
150,235.7,true,74.86,2689,119.19,player-00128,MC,48,96,270.13,74.21,3.92,625.02,23,34
282,236.38,true,80.42,4687,121.23,player-00129,DEL,48,172,234.01,67.5,4.15,591.62,24,37
237,205.23,true,80.5,3952,120.01,player-00130,DEF,48,148,278.52,81.99,4.16,603.76,27,42
1785,177.58,true,65.66,8483,124.34,player-00131,POR,41,361,209.33,61.23,3.04,511.25,22,31
1474,163.82,true,73.44,6789,120.15,player-00132,DEF,41,294,271.66,85.29,3.75,555.62,23,36
1711,193.94,true,59.56,8062,125.52,player-00133,DEF,41,344,206.59,60.63,3.14,526.06,21,30
1486,198.29,true,63.08,6852,125.91,player-00134,MC,41,299,230.2,67.28,3.59,554.4,19,29
1622,180.13,true,64.98,7664,122.53,player-00135,MC,41,324,234.89,65.04,3.57,537.55,23,35
1699,194.19,true,58.48,8013,124.7,player-00136,DEL,41,343,208.56,56.89,3.26,527.45,22,32
1893,177.35,true,50.68,9210,121.99,player-00137,DEF,41,380,139.96,43.23,3.78,439.29,21,33
1394,204.7,true,69.24,6428,123.47,player-00138,MC,41,271,233.72,64.43,2.95,561.9,23,32
1735,186.33,true,62.89,8200,125.02,player-00139,DEL,41,349,210.55,61.18,3.58,521.9,21,32
1598,201.8,true,64.5,7527,125.77,player-00140,DEF,41,322,213.71,61.61,3.37,541.29,21,31
1644,248.14,true,60.16,7764,121.03,player-00141,POR,11,325,165.74,47.78,6.34,534.91,24,41
468,255.08,true,69.51,1770,122.69,player-00142,DEF,11,99,265.25,71.65,8.82,643.02,25,47
,237.35,false,43.99,,123.43,player-00143,DEF,11,,160.51,52.61,8.38,521.28,26,49
1853,243.84,true,50.45,8927,122.71,player-00144,MC,11,374,118.1,36.46,6.82,484.65,24,45
1513,233.19,true,66.81,7002,119.9,player-00145,MC,11,307,198.66,57.88,7.56,551.76,21,41
233,248.95,true,77.21,730,121.26,player-00146,DEL,11,45,300.49,87.72,8.16,670.7,24,43
1359,247.79,true,63.21,6193,122.24,player-00147,DEF,11,277,196.53,55.29,8.05,566.56,25,44
1104,255.63,true,58.1,4943,120.29,player-00148,MC,11,223,211.53,57.26,6.42,587.45,24,38
795,249.45,true,64.95,3263,121.84,player-00149,DEL,11,171,243.8,68.9,5.24,615.09,21,39
874,254.91,true,60.15,3641,120.92,player-00150,DEF,11,187,232.63,67.88,5.61,608.46,23,42
190,220.27,true,97.88,588,123.04,player-00151,POR,29,45,332.69,97.96,3.47,676,20,30
66,250.4,true,93.02,185,123.15,player-00152,DEF,29,21,326.44,92.28,3.92,700,23,37
77,223.84,true,95.8,223,121.04,player-00153,DEF,29,23,350.98,95.72,4.19,695.87,22,37
995,231.11,true,80.15,4355,121.54,player-00154,MC,29,221,244.18,71.62,3.28,596.83,24,35
570,206.86,true,92.36,2162,124.6,player-00155,MC,29,135,303.78,88.46,2.92,635.24,26,36
123,231,true,98,366,121.99,player-00156,DEL,29,32,333.29,97.07,3.57,686.28,23,35
1099,234.69,true,81.93,4928,122.68,player-00157,DEF,29,242,230.37,71.09,3.75,587.74,23,36
24,234.41,true,98,76,123.74,player-00158,MC,29,7,357.22,97.07,3.47,715.37,22,33
25,236.11,true,92.94,77,125.34,player-00159,DEL,29,8,353.88,99,3,715.33,25,35
228,246.92,true,94.76,716,122.02,player-00160,DEF,29,53,302.16,90.66,3.57,671.1,23,35
392,213.29,true,82.65,3691,122.38,player-00161,POR,08,180,272.08,75.01,5.06,607.75,28,39
564,194.26,true,67.04,5126,123.32,player-00162,DEF,08,257,266.95,74.99,3.64,584.53,28,40
201,218.36,true,82.69,1900,124.99,player-00163,DEF,08,105,297.16,81.89,5.72,640.51,29,45
316,207.08,true,79.73,3042,121.66,player-00164,MC,08,146,289.81,85.8,5.51,618.55,23,34
730,223.65,true,66.42,6608,124.82,player-00165,MC,08,328,210.33,65.4,5.22,558.8,24,37
245,228.29,true,74.74,2299,121.43,player-00166,DEL,08,123,282.65,76.23,5.32,632.36,23,33
897,189.19,true,76.51,8354,124.02,player-00167,DEF,08,394,203.23,62.09,5.7,516.44,26,40
474,206.33,true,77.59,4433,124.5,player-00168,MC,08,216,264.67,78.07,5.17,595.5,27,38
346,235.25,true,70.7,3294,125.08,player-00169,DEL,08,162,254.15,72.88,5.07,614.48,26,36
680,201.09,true,69.67,6195,124.97,player-00170,DEF,08,308,240.48,67.24,5.22,566.54,24,37
62,256,true,75.06,1051,117.26,player-00171,POR,02,15,286.76,81.95,6.05,660.02,18,44
281,208.44,true,84.22,4470,117.56,player-00172,DEF,02,62,268.98,81.54,5.79,594.99,20,46
335,263.55,true,67.73,5428,118.55,player-00173,DEF,02,80,197.58,59.86,5.52,579.67,18,39
71,225.97,true,79.07,1171,120.88,player-00174,MC,02,18,309.9,97.23,5.72,656.75,19,43
212,223.49,true,85.67,3515,117.48,player-00175,MC,02,47,269.96,82.5,5.97,610.92,20,48
129,213.44,true,79.53,2191,117.2,player-00176,DEL,02,27,303.86,86.29,5.62,634.5,19,42
245,216.19,true,77.83,3962,120.85,player-00177,DEF,02,55,266.56,81.49,5.7,603.6,20,45
208,237.66,true,79.13,3386,116.25,player-00178,MC,02,44,258.98,76.8,5.49,612.89,20,43
251,217.33,true,82.37,4097,116.28,player-00179,DEL,02,57,267.43,84.87,5.39,601.04,19,40
113,235.83,true,78.19,1912,118.88,player-00180,DEF,02,25,285.63,80.37,5.14,640.34,19,38
89,183.44,true,98,1347,113.48,player-00181,POR,05,3,355.33,98.08,5.81,652.25,14,28
409,160.39,true,94.99,4652,113.88,player-00182,DEF,05,43,318.01,99,4.76,592.29,14,26
216,186.11,true,95.64,2806,114.5,player-00183,DEF,05,23,322.02,91.39,5.9,622.62,15,31
660,160.31,true,82.79,7287,114.97,player-00184,MC,05,66,271.3,76.45,5.5,546.57,13,28
505,178.61,true,87.44,5702,111.8,player-00185,MC,05,54,284.73,88,6.52,575.14,12,28
231,158.33,true,97.99,3043,114.56,player-00186,DEL,05,25,345.65,99,5.92,618.55,12,24
344,186.11,true,98,4019,114.5,player-00187,DEF,05,34,302.01,98.06,5.9,602.61,15,31
403,141.99,true,98,4593,111.4,player-00188,MC,05,42,339.68,96.77,6.24,593.08,12,26
650,167.06,true,75.04,7154,108.75,player-00189,DEL,05,64,273.37,75.97,6.49,549.18,11,25
599,163.18,true,78.5,6670,110.66,player-00190,DEF,05,61,283.65,84.44,6.24,557.5,12,26
484,228.59,true,69.88,6244,117.06,player-00191,POR,36,115,219.89,66.26,4.14,565.54,18,30
392,220.26,true,76.25,4971,113.73,player-00192,DEF,36,83,252.91,71.91,4.26,586.91,20,34
385,224.17,true,73.04,4910,115.68,player-00193,DEF,36,80,248.37,78.4,3.93,588.21,18,29
409,248.32,true,74.86,5181,114.95,player-00194,MC,36,87,220.36,66.22,4.63,583.64,19,31
200,213.02,true,81.41,2550,114.9,player-00195,MC,36,30,299.88,85.28,4.05,627.8,22,33
267,230.95,true,68.12,3237,117.46,player-00196,DEL,36,41,267.03,84.12,4.36,615.44,21,33
317,238.18,true,71.05,3910,115.46,player-00197,DEF,36,56,250.73,69.1,4.14,604.38,21,35
441,222.24,true,65.66,5670,114.33,player-00198,MC,36,94,239.24,72.52,3.78,575.81,21,33
440,233.09,true,72.29,5660,114.67,player-00199,DEL,36,93,228.2,65.76,4.38,575.95,19,33
268,255.18,true,67.48,3238,115.39,player-00200,DEF,36,42,244.87,72.04,4.36,615.44,21,33
421,170.56,true,88.09,4223,123.21,player-00201,POR,46,161,305.27,91.87,7.17,599.04,30,57
768,207.44,true,62.42,7582,121.01,player-00202,DEF,46,301,211.66,57.79,6.61,540.1,29,53
891,173.22,true,78.98,8994,122.4,player-00203,DEF,46,344,182.74,56.21,7.5,478.36,32,52
229,188.28,true,96.5,2419,124.84,player-00204,MC,46,92,317.27,93.18,8.73,630.39,32,61
565,182.16,true,77.74,5643,121.68,player-00205,MC,46,217,272.43,75.03,8.71,576.26,29,59
501,181.11,true,83,5045,123.63,player-00206,DEL,46,188,281.1,82.69,7.06,585.85,29,58
756,182.06,true,79.95,7498,122.36,player-00207,DEF,46,297,237.49,71.61,6.84,541.9,29,51
263,180.88,true,79.83,2778,122.51,player-00208,MC,46,102,319.62,88.48,8.19,623,29,53
436,222.9,true,81.03,4325,125.22,player-00209,DEL,46,166,249.16,75.67,6.43,597.27,30,53
620,168.9,true,76.29,6203,123.28,player-00210,DEF,46,239,274.19,80.52,8.02,566.37,30,57
666,221.61,true,75.02,2559,121.26,player-00211,POR,14,65,284.85,85.9,5.58,627.71,16,25
,202.39,false,63.28,,118.01,player-00212,DEF,14,,172.84,55.69,5.01,493.24,15,24
1424,199.62,true,64.47,6556,120.09,player-00213,DEF,14,139,239.86,68.34,6.14,559.57,17,30
972,251.15,true,68.41,4210,120.8,player-00214,MC,14,97,227.22,66.14,5.48,599.18,16,28
1707,204.16,true,59.6,8044,117.45,player-00215,MC,14,173,204.86,57.41,6.43,526.47,17,32
508,197.95,true,92.43,1928,120.15,player-00216,DEL,14,51,321.98,92.67,4.84,640.08,17,27
1609,219.53,true,71.97,7614,119.81,player-00217,DEF,14,166,199.87,60.6,5.66,539.21,17,31
1725,197.13,true,57.71,8140,122.04,player-00218,MC,14,175,204.59,57.17,4.58,523.76,15,27
1593,201.8,true,66.8,7486,117.85,player-00219,DEL,14,164,222.43,62.17,6.28,542.08,17,31
1473,203.84,true,71.04,6788,119.96,player-00220,DEF,14,147,231.83,65.17,5.94,555.63,17,29
1661,192.33,true,59.93,7833,120.43,player-00221,POR,29,321,220.15,63.87,4.53,532.91,29,45
1675,188.64,true,70.3,7918,119.88,player-00222,DEF,29,325,221.53,64.97,5.77,530.05,31,49
1841,221.23,true,45.53,8832,121.61,player-00223,DEF,29,351,148.82,42.19,3.6,491.67,30,43
1877,193.03,true,40.83,9107,121.1,player-00224,MC,29,359,150.99,40.74,6.06,465.12,32,50
993,216.87,true,71.53,4341,120.23,player-00225,MC,29,220,259.96,70.11,4.16,597.06,30,47
883,263.42,true,67.27,3704,123.13,player-00226,DEL,29,197,221,68.53,4.17,607.55,30,47
1737,203.43,true,67.83,8218,120.34,player-00227,DEF,29,333,197.6,58.67,4.7,521.36,28,48
1450,236.57,true,54.25,6692,122.04,player-00228,MC,29,295,198.51,58.85,4.2,557.13,28,44
1703,200.23,true,60.48,8034,123.62,player-00229,DEL,29,330,202.77,61.71,4.27,526.62,29,43
935,220.06,true,75.93,4017,123.34,player-00230,DEF,29,208,259.24,75.07,4.77,602.64,28,45
1727,205.87,true,54.06,8142,125.49,player-00231,POR,11,347,192.38,55.29,7.1,523.74,23,34
1791,198.95,true,52.57,8514,127.73,player-00232,DEF,11,359,183.46,49.48,7.52,510.14,21,33
1670,193.62,true,72.26,7885,125.46,player-00233,DEF,11,334,212.11,63.56,3.37,531.19,21,31
1842,200.95,true,59.74,8835,127.88,player-00234,MC,11,371,162.78,46.17,5.44,491.62,22,32
1726,205.4,true,62.6,8141,124.65,player-00235,MC,11,346,193.7,55.3,5.75,523.75,21,32
1120,200.53,true,72.13,5011,126.82,player-00236,DEL,11,228,258.97,75.69,4.12,586.32,20,30
1049,193.74,true,69.29,4650,127.28,player-00237,DEF,11,210,271.28,73.52,5.26,592.3,20,31
1552,206.81,true,67.11,7254,125.79,player-00238,MC,11,313,214.54,63.69,7.19,547.14,19,28
1667,232.13,true,58,7856,124.95,player-00239,DEL,11,331,175.22,52.46,5.66,532.3,17,25
1101,197.31,true,61.93,4933,125.9,player-00240,DEF,11,222,264.46,80.42,5.83,587.67,19,29
406,213.21,true,74.14,5147,113.42,player-00241,POR,36,86,257.57,75.68,6.57,584.19,14,34
60,227.88,true,83.85,757,116.06,player-00242,DEF,36,10,325.66,92.78,5.43,669.6,16,30
142,223.87,true,80.77,1741,113.53,player-00243,DEF,36,21,306.24,93.44,5.76,643.64,15,30
435,208.79,true,74.33,5615,112.47,player-00244,MC,36,92,255.39,72.65,6.55,576.65,13,31
470,224.35,true,70.94,6119,115.5,player-00245,MC,36,109,227.97,67.57,6.03,567.82,17,32
482,208.81,true,79.1,6233,116.77,player-00246,DEL,36,114,240.17,69.35,5.76,565.75,17,30
468,203.59,true,62.84,6075,118.05,player-00247,DEF,36,107,246.95,68.5,6.03,568.59,17,32
182,239.86,true,68.09,2372,116.01,player-00248,MC,36,24,275.32,78.76,6.02,631.19,15,27
329,234.94,true,76.58,4188,117.94,player-00249,DEL,36,58,246.62,70.71,6.03,599.5,17,32
110,233.52,true,82.75,1332,115.55,player-00250,DEF,36,16,303.48,85.08,4.49,652.55,13,23
152,260.21,true,73.29,1552,119.08,player-00251,POR,08,78,268.16,73.66,7.08,647.46,20,39
127,283.44,true,72.15,1221,119.36,player-00252,DEF,08,64,252.51,70.76,6.71,655.31,19,38
694,260.21,true,60.18,6390,119.08,player-00253,DEF,08,315,183.47,58.27,7.26,562.77,18,36
82,257.27,true,76.97,738,122.73,player-00254,MC,08,41,290.39,83.98,4.28,670.38,17,29
202,290.67,true,64.59,1902,119.95,player-00255,MC,08,106,229.87,63.06,5.58,640.48,16,31
21,269.83,true,79.67,207,122.68,player-00256,DEL,08,8,304.86,89.14,5.69,697.37,18,36
151,284.58,true,65.86,1541,119.75,player-00257,DEF,08,77,243.3,69.82,7.65,647.62,17,37
441,256.04,true,62.11,4135,121.11,player-00258,MC,08,200,223.28,60.81,4.8,600.43,20,34
537,260.79,true,63.06,4919,121.35,player-00259,DEL,08,242,205.78,58.89,5.11,587.92,18,32
173,280.7,true,68.98,1707,121.96,player-00260,DEF,08,87,241.46,74.59,4.63,644.12,19,31
1615,153.65,true,75.69,7636,120.95,player-00261,POR,11,322,263.78,79.16,5.29,538.38,16,33
1620,157.45,true,76.68,7656,121.48,player-00262,DEF,11,323,258.93,72.93,5.3,537.87,15,31
1766,142.19,true,69.59,8392,121.93,player-00263,DEF,11,355,251.04,69.05,4.07,515.16,17,28
1182,180.42,true,82.62,5283,121.72,player-00264,MC,11,239,279.63,80.89,3.6,581.77,17,26
1482,138.52,true,80.12,6836,120.65,player-00265,MC,11,301,295.66,81.15,4.78,554.83,15,28
1800,136.44,true,68.96,8586,122.16,player-00266,DEL,11,361,247.97,70.07,5,506.57,18,35
1388,174.89,true,73.51,6356,122.87,player-00267,DEF,11,284,265.57,75.41,4.98,563.33,16,31
815,172.74,true,89.27,3327,121.04,player-00268,MC,11,177,320.19,89.07,4.37,613.97,15,26
1734,158.43,true,77.73,8195,116.91,player-00269,DEL,11,349,246.82,71.69,5.5,522.16,13,28
